sample_id,assay,condition,replicate,fastq_r1,fastq_r2
mut_01,wgs,mutated,1,data/fastq/mut_01_wgs_rep1_R1.fastq.gz,data/fastq/mut_01_wgs_rep1_R2.fastq.gz
mut_01,wgs,mutated,2,data/fastq/mut_01_wgs_rep2_R1.fastq.gz,data/fastq/mut_01_wgs_rep2_R2.fastq.gz
mut_02,wgs,mutated,1,data/fastq/mut_02_wgs_rep1_R1.fastq.gz,data/fastq/mut_02_wgs_rep1_R2.fastq.gz
mut_02,wgs,mutated,2,data/fastq/mut_02_wgs_rep2_R1.fastq.gz,data/fastq/mut_02_wgs_rep2_R2.fastq.gz
mut_03,wgs,mutated,1,data/fastq/mut_03_wgs_rep1_R1.fastq.gz,data/fastq/mut_03_wgs_rep1_R2.fastq.gz
mut_03,wgs,mutated,2,data/fastq/mut_03_wgs_rep2_R1.fastq.gz,data/fastq/mut_03_wgs_rep2_R2.fastq.gz
ctrl_01,wgs,control,1,data/fastq/ctrl_01_wgs_rep1_R1.fastq.gz,data/fastq/ctrl_01_wgs_rep1_R2.fastq.gz
ctrl_01,wgs,control,2,data/fastq/ctrl_01_wgs_rep2_R1.fastq.gz,data/fastq/ctrl_01_wgs_rep2_R2.fastq.gz
ctrl_02,wgs,control,1,data/fastq/ctrl_02_wgs_rep1_R1.fastq.gz,data/fastq/ctrl_02_wgs_rep1_R2.fastq.gz
ctrl_02,wgs,control,2,data/fastq/ctrl_02_wgs_rep2_R1.fastq.gz,data/fastq/ctrl_02_wgs_rep2_R2.fastq.gz
ctrl_03,wgs,control,1,data/fastq/ctrl_03_wgs_rep1_R1.fastq.gz,data/fastq/ctrl_03_wgs_rep1_R2.fastq.gz
ctrl_03,wgs,control,2,data/fastq/ctrl_03_wgs_rep2_R1.fastq.gz,data/fastq/ctrl_03_wgs_rep2_R2.fastq.gz
mut_01,rnaseq,mutated,1,data/fastq/mut_01_rnaseq_rep1_R1.fastq.gz,data/fastq/mut_01_rnaseq_rep1_R2.fastq.gz
mut_01,rnaseq,mutated,2,data/fastq/mut_01_rnaseq_rep2_R1.fastq.gz,data/fastq/mut_01_rnaseq_rep2_R2.fastq.gz
mut_02,rnaseq,mutated,1,data/fastq/mut_02_rnaseq_rep1_R1.fastq.gz,data/fastq/mut_02_rnaseq_rep1_R2.fastq.gz
mut_02,rnaseq,mutated,2,data/fastq/mut_02_rnaseq_rep2_R1.fastq.gz,data/fastq/mut_02_rnaseq_rep2_R2.fastq.gz
mut_03,rnaseq,mutated,1,data/fastq/mut_03_rnaseq_rep1_R1.fastq.gz,data/fastq/mut_03_rnaseq_rep1_R2.fastq.gz
mut_03,rnaseq,mutated,2,data/fastq/mut_03_rnaseq_rep2_R1.fastq.gz,data/fastq/mut_03_rnaseq_rep2_R2.fastq.gz
ctrl_01,rnaseq,control,1,data/fastq/ctrl_01_rnaseq_rep1_R1.fastq.gz,data/fastq/ctrl_01_rnaseq_rep1_R2.fastq.gz
ctrl_01,rnaseq,control,2,data/fastq/ctrl_01_rnaseq_rep2_R1.fastq.gz,data/fastq/ctrl_01_rnaseq_rep2_R2.fastq.gz
ctrl_02,rnaseq,control,1,data/fastq/ctrl_02_rnaseq_rep1_R1.fastq.gz,data/fastq/ctrl_02_rnaseq_rep1_R2.fastq.gz
ctrl_02,rnaseq,control,2,data/fastq/ctrl_02_rnaseq_rep2_R1.fastq.gz,data/fastq/ctrl_02_rnaseq_rep2_R2.fastq.gz
ctrl_03,rnaseq,control,1,data/fastq/ctrl_03_rnaseq_rep1_R1.fastq.gz,data/fastq/ctrl_03_rnaseq_rep1_R2.fastq.gz
ctrl_03,rnaseq,control,2,data/fastq/ctrl_03_rnaseq_rep2_R1.fastq.gz,data/fastq/ctrl_03_rnaseq_rep2_R2.fastq.gz
